ID,大分類,小分類,説明文
63,倉庫,倉庫と仲間の関係１,"倉庫に食べ物がない状態で何日も帰宅せずにいると仲間が死亡する。
五大栄養素（糖質、タンパク質、脂質、ビタミン、ミネラル）の
どれか一つでも０になると死亡する。
糖質が０になった場合は餓死、それ以外は病死となる。

"
64,倉庫,倉庫と仲間の関係２,"倉庫にワードブレスがあるとき、仲間が瀕死になると一つ減る。
その状態で仲間が死亡するとライネンの契約を行って蘇る。

瀕死になると、食べるべきではない食材も食べるようになる。
"
65,その他,ゲームの強制終了,"Ａｌｔ＋Ｆ４やウィンドウの閉じるボタンでゲームを終了させようとした場合、
その時の状態でセーブが行われる。
"
66,その他,日付・時刻,"パワーエッグ星の一日は２４時間であり、
１年は３６５日である。

太陽は東から登り、西に沈む。

１２倍の速さで時間が進んでおり、
ゲームを１時間プレイすると、パワーエッグ星で１２時間経過する。
"
67,その他,天候,"昼と夜がある。
晴れと雨がある。

雨が降ると体力や移動速度にデバフがかかる。
"
68,その他,攻略のヒント１,"肉体の修復度が０になったら死亡するが、
回復アイテムはなく、自然治癒以外に回復手段はない。
負傷や状態異常を回復したい場合は、
飢餓状態を解消した上で安静にし、治るのを待つ。
"
69,その他,攻略のヒント２,"敵を倒してもご褒美はない。
"
70,その他,攻略のヒント３,"山道を辿るようにしたほうが良い。
"
71,その他,攻略のヒント４,"クエストを進めなくてもゲームをクリアすることはできる。
ＮＰＣが死亡してもゲームをクリアすることはできる。
"
72,その他,攻略のヒント５,"現在地や地図を表示する機能はない。
太陽や山の方角を見て島の形状と現在地を予想しよう。
"
73,その他,攻略のヒント６,"ゲーム開始直後から、ＮＰＣの糖質や脂質、水分の消費は始まっている。
のんびりしているとＮＰＣが餓死・脱水症で死亡する。
"
74,その他,攻略のヒント７,"一日に一度もスタミナが７０％以下になることがなければ、
トレーニング不足で、身体のスタミナの最大値と瞬発力が下がる。

３０％以下になることが一度でもあれば、
身体のスタミナの最大値と瞬発力が上がる。
"
75,その他,攻略のヒント８,"謎の草１、謎の草２などが存在するが
どの草が毒草かは、ゲームを初めからやり直すたびに変わる。
"
76,その他,攻略のヒント９,"植物を採取したり敵を倒したらマップ上から消え、
復活することはない。
"
77,その他,攻略のヒント１０,"レベル、レベルアップの概念はない。
"
78,その他,攻略のヒント１１,"骨折したら初めからやり直したほうがいい。
"
79,その他,攻略のヒント１２,"アクションを表示してから
一定時間、アクションを表示したままにしておけば
「脱出」が表示される。
"
