ID,オプション1,オプション2,オプション3,
33,「・・・」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
34,「お前がネス、という男か？」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
35,"「いえいえ！　違いますよ（笑）誰ですかそれ（笑）
　そんな人聞いたことないです（笑）」",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
36,男は襟を直した。,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
37,「・・・」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
38,「名前を教えてくれるか？」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
39,"「さぁ～。わかりませんねぇ～。忘れちゃったんで（笑）
　名前が初めからなかったんで（笑）」",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
40,「・・・」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
41,「さっき倒した亡霊はノーブルという男か」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
42,「いや～。わかりませんなぁ～（笑）そんなのいました？（笑）」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
43,男は襟を立ててから襟を直した。,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
44,「・・・」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
45,「・・・」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
46,「お前はここで何をしている」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
47,「いや～。えーと、強盗殺人をやってました（笑）」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
48,「・・・」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
49,「強盗殺人？」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
50,"「この辺にいた人たちをですね～みーんな殺して、
　お金を巻き上げて死体をバラバラにして埋めたんですわ～（笑）
　あぁ～最高だった～（笑）」",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
51,「・・・」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
52,"ホシマンは周りを見渡したが、
数十年以上経過した廃墟でありそのような凄惨な現場とはかけ離れていた。",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
53,「嘘ついてるだろ。どこでやったのか言ってみろ」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
54,"「いや～とんでもな～い（笑）本当ですよぉ～（笑）
　どこでやったかはちょっと教えらえませんなぁ～」",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
55,男はまた襟を立ててから襟を直した。足がガタガタと震えていた。,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
56,（彼は手で何かをいじりながらじゃないと話せないようだ）,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
57,"「企業秘密なんで（笑）いや～人の死体沢山見れたの最高だったなぁ～（笑）
　これから毎日宴会しないとなぁ～（笑）」",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
58,「そんな危険な奴なら、生かしておけないな」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
59,ホシマンは石斧を構えた。,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
60,"「ちょっとぉ～嘘に決まってるじゃないですか～（笑）
　いや～君ちょっと変わってるわ（笑）」",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
61,「・・・」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
62,"「よく人から嫌われるでしょ（笑）
　頭がおめでたすぎて言葉が通じないって言われませんか？（笑）」",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
63,「・・・」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
64,「・・・（笑）」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
65,男は勝ち誇ったようにホシマンの方を笑顔で見ていた。,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
66,「最初に戻るが、お前の名前は『ネス』か？」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
67,「えぇ～誰ですかぁ～ネスってぇ～（笑）」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
68,「じゃあなんという名前だ」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
69,"「いや～それはそちらが名乗ってからじゃないですかぁ～？（笑）
　なぁ～んで私だけ教えてあげないといけないんですかぁ～？（笑）」",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
70,「私はホシマンだ」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
71,"「えぇ～ホシマン～？　いや～初めて聞きましたよ、そんな変な名前（笑）
　あなたの両親、絶対＊＊＊でしょ（笑）ぴーぽーぴーぽー（笑）」",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
72,「・・・」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
73,「で、お前はなんていう名前なんだ？」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
74,「え（笑）なんで言わないといけないんですか？（笑）」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
75,「おい・・・」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
76,"「そんな約束してないですよ（笑）あなたが勝手に名乗ったんじゃないですか（笑）
　あ、思い出しました。私の名前、ホシマンっていうんですよ（笑）」",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
77,「・・・」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
78,「いや～変な名前で困っちゃうなぁ～（笑）大変だったよ～（笑）」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
79,「・・・」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
80,「なんというか・・・お邪魔した」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
81,ホシマンは振り返り、プレシジョンの方へ歩き出した。,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
82,（ここに来るたびこいつと遭遇する可能性があるのか・・・）,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
83,"「あーあ！　やっといなくなってくれた（笑）
　ふーぅ＊＊＊の相手するの疲れたなぁ～（笑）
　助かった～（笑）お達者でぇ～（笑）」",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
84,ホシマンは無視して歩き続けた。,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
85,「あ！　ブイが盗まれてるぅ～！」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
86,ホシマンは立ち止った。,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
87,「・・・」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
88,「いや～困るなぁ～」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
89,「どう困るんだ」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
90,「大量殺人をするのに必要なんですよ（笑）」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
91,「これを？　どうやって大量殺人に使うんだ」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
92,"「いや～それは教えられないなぁ～（笑）
　なんで＊＊＊のあなたに教えてあげないといけないですか（笑）」",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
93,「・・・」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
94,「私が＊＊＊というのは一体どこからわいて出てきたんだ」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
95,"「いや～だってあなたのご両親、＊＊＊＊＊なんでしょ？（笑）
　じゃ～その子供であるあなたも＊＊＊＊＊でしょ（笑）
　実際にブイを盗んで持ち去ろうとしてるし（笑）」",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
96,「・・・」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
97,"「あなたのご両親を殺すのにも使えますよ（笑）
　人がたくさん死ぬと最高や～（笑）」",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
98,"とうとう男は腹を抱えて地面に座り込んだ。
そして足をバタつかせながら地面を叩いて笑い始めた。",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
99,「・・・そうか・・・」,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
100,ホシマンはバーチャルベックス港跡を立ち去った。,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
101,"（葬式で爆笑してしまう人が世の中にはいるんだった。
　しばらくそういう人と接する機会がなかったから忘れていた・・・）",res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
102,ホシマンは怒りでも恐怖でもなく、未知との遭遇の衝撃に震えが止まらなかった。,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
