ID,オプション1,オプション2,オプション3,background,BGM
50,The two subjects pressed shoulder to shoulder and started to leave.,res\\image\\vim00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
51,"""Wait—explain what's going on.""",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
52,"""...""",res\\image\\vim00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
53,"""I'm not designed to attack people,
but this one is designed to attack people.""",res\\image\\vim00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
54,"""W‑wait—then I can't just let you go like this...
We have an injured person and kids here. And now you know where we live.""",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
55,The subject averted their eyes and looked down.,res\\image\\vim00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
56,"""...""",res\\image\\vim00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
57,The subject hoisted the other onto their back and ran off.,res\\image\\vim00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
58,"""...""",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
59,"""Uh... what's happening over there...?""",res\\image\\daikeiman00.png,,res\\image\\talkPrecision.png,
60,"murmured Trapezoid Man.
From where he was, he couldn't see what was happening.",res\\image\\daikeiman00.png,,res\\image\\talkPrecision.png,
61,"""...""",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
62,"""I can't. My hands are shaking... I can't deliver the finishing blow.""",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
63,"""...""",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
64,"""Maybe we should move.""",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
65,"""You can leave me here. Don't worry about it.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
66,Trapezoid Man had broken both legs and still couldn't walk.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
67,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
68,"""For a while, I'll stay around the ruins myself.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
69,"""If that still doesn't work, we'll move.
Then I'll carry Trapezoid Man on my back.""",,,res\\image\\talkPrecision.png,
70,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
71,"""Got it.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
