ID,大分類,小分類,説明文,表示済み
37,操作方法,壁や地面にめり込んでしまったら,"コマンド画面を表示してから
規定時間、キーボード、マウス、ゲームパッドを触らなければ、
脱出コマンドが表示される。
",○
38,操作方法,状態,"次の状態になることがある。

腕の骨折、足の骨折、頭痛、風邪、腹痛、睡眠、脱水症状、睡眠不足
",○
39,操作方法,ダッシュ,"１０秒まで。
",○
40,操作方法,ジョギング,"１分まで。訓練により３分までできるようになる。
",○
41,操作方法,歩く,"１０分まで。訓練により１時間までできるようになる。
",○
42,操作方法,投げる,"石を投げたり、アトラトルで石槍を投げたり、弓矢を射ったりする。
ココナッツの木に向かって投げて実を落とすこともできる。
",○
43,操作方法,死んだ敵は生き返らない,"死んだ敵は生き返らない。なぜなら死んだから。
",○
44,イカダで航海,方角,"太陽の方角を見て考える。
",
45,イカダで航海,風の向き、強さ,"風の向きはある程度、一定。風の強さはランダム。
",
46,イカダで航海,漕ぎモード,"メニューのコマンドから「座る」を選択すると漕ぎモードになり、
右クリックで右のオール、左クリックで左のオールを操作する。
",
47,イカダで航海,袋,"袋の近くに行くと袋の中身を見れる。
",
48,イカダで航海,紐,"紐を見ることで風の向きと強さを確認できる。
",
49,イカダで航海,「３時間漕ぐ」コマンド,"メニューのコマンドから「３時間漕ぐ」コマンドを選択すると
現在の方角に向かって３時間漕ぐ。
",
50,イカダで航海,帆を張る,"メニューのコマンドから「帆を張る」コマンドを選択すると
帆を張ることができる。帆の向きは調節できない。
",
51,イカダで航海,イカダのステータス,"メニューのステータスでイカダのステータスを表示できる。
",
52,イカダで航海,イカダ,"強化値と重量によってイカダが沈むまでの日数が変わる。
",
53,イカダで航海,泳ぎモード,"海に飛び込めば泳ぐことができる。イカダが沈んだら泳ぐしかない。
",
54,用語,ライネン,"一年で死亡する代わりに強力な力を得る契約。

炎、氷、闇の魔法が使えるようになる。
亡霊は闇の魔法でしかダメージを与えられない。
そして死んでも小瓶を飲んだ場所で一度だけ復活できる。
正確には死ぬ直前で体力が全快する。
全快するときに、魂の情報を元に体が復元さるため、
体内に残った銃弾などは消えるが直前に飲食したものも消える。
また、四肢を失ったとしても復元される。
",○
55,倉庫,倉庫,"倉庫にアイテムを預けておくことができる。
",○
56,倉庫,倉庫と仲間の関係,"倉庫に食べ物がない状態で何日も帰宅せずにいると仲間が死亡する。
五大栄養素（糖質、タンパク質、脂質、ビタミン、ミネラル）の
どれか一つでも０になると死亡する。
糖質が０になった場合は餓死、それ以外は病死となる。
倉庫にワードブレスがあるとき、仲間が瀕死になると一つ減る。
その状態で仲間が死亡するとライネンの契約を行って蘇る。
",○
57,その他,ゲームの強制終了,"Ａｌｔ＋Ｆ４やウィンドウの閉じるボタンでゲームを終了させようとした場合、
その時の状態でゲームデータのセーブが行われる。

「死んだら最初から」というゲームシステム上、
ゲームを強制終了したいことがあるかもしれないが
強制終了したところから再開される。
",○
58,その他,このゲームにないもの１,"ミニマップはない。現在地の表示もない。
地図や周囲の景色、太陽の方向から現在値を推測できる。
",○
59,その他,このゲームにないもの２,"回復アイテムはない。
負傷や状態異常を回復したい場合は、
飢餓状態を解消した上で安静にし、治るのを待つ。
",○
60,その他,天候,"昼と夜がある。
晴れと雨と台風がある。
台風の日はモンスターと亡霊が襲ってこない。
",○
61,きのこ,きのこ,"サバイバルではきのこを食べてはいけない。
",○
62,その他,このゲームにないもの２,"回復アイテムはない。
負傷や状態異常を回復したい場合は、
飢餓状態を解消した上で安静にし、治るのを待つ。
",○
63,その他,天候,"昼と夜がある。
晴れと雨と台風がある。
台風の日はモンスターと亡霊が襲ってこない。
",○
64,きのこ,きのこ,"サバイバルではきのこを食べてはいけない。
",○
