SerialNumber,ID,PosX,PosY,PosZ,RotX,RotY,RotZ,残りHP,討伐済み
195,enban,-1925.744873,102.479416,-1391.378296,0,0,0,100,
196,enchu,-1925.744873,114.178780,-1460.822754,0,0,0,100,
197,enban,-1925.699707,98.559364,-1376.096924,0,0,0,100,
198,enchu,-1925.699707,112.019386,-1445.541504,0,0,0,100,
199,hankyu,-1924.252930,60.158951,-1800.720459,0,0,0,100,
200,enban,-1924.252930,96.584839,-1366.692871,0,0,0,100,
201,bigCube,-1924.252930,118.167084,-1540.304077,0,0,0,100,
202,bigCube,-1924.252930,118.167084,-1505.581787,0,0,0,100,
203,hanen,-1922.715698,68.858093,-1775.447388,0,0,0,100,
204,enban,-1922.715698,90.983292,-1339.882690,0,0,0,100,
205,enchu,-1922.715698,108.113174,-1409.327393,0,0,0,100,
206,enchu,-1922.715698,118.026199,-1478.771729,0,0,0,100,
207,bigCube,-1922.715698,118.026207,-1567.114258,0,0,0,100,
208,hanen,-1921.901978,67.702339,-1781.008423,0,0,0,100,
209,smallCube,-1921.901978,107.890518,-1642.119629,0,0,0,100,
210,hanen,-1921.901855,70.837738,-1770.700195,0,0,0,100,
211,hanen,-1921.901855,92.821075,-1701.255859,0,0,0,100,
212,smallCube,-1921.901855,109.614212,-1631.811523,0,0,0,100,
213,enchu,-1921.901855,118.454727,-1473.210693,0,0,0,100,
214,hanen,-1920.093506,90.044937,-1717.758057,0,0,0,100,
215,enban,-1920.093506,95.341934,-1349.015381,0,0,0,100,
216,enchu,-1920.093506,111.919128,-1418.459717,0,0,0,100,
217,enchu,-1920.093384,119.766220,-1467.016724,0,0,0,100,
218,hanen,-1918.465820,71.009384,-1777.572266,0,0,0,100,
219,hanen,-1918.465820,93.754906,-1708.127930,0,0,0,100,
220,sphere,-1918.420654,60.666782,-1237.840820,0,0,0,100,
221,hanen,-1918.420654,84.808212,-1738.600342,0,0,0,100,
222,enban,-1918.420654,102.166008,-1368.184814,0,0,0,100,
223,smallCube,-1918.420654,102.166016,-1677.700928,0,0,0,100,
224,smallCube,-1918.420654,105.102615,-1669.156006,0,0,0,100,
225,bigCube,-1918.420654,124.445930,-1515.618774,0,0,0,100,
226,enban,-1917.923340,98.167465,-1353.491211,0,0,0,100,
227,bigCube,-1917.923340,121.385857,-1585.515137,0,0,0,100,
228,bigCube,-1917.923340,123.251343,-1553.505859,0,0,0,100,
229,enchu,-1917.923340,123.251343,-1492.380127,0,0,0,100,
230,hanen,-1917.923218,76.152138,-1761.838989,0,0,0,100,
231,enchu,-1917.923218,121.385857,-1460.370605,0,0,0,100,
232,sphere,-1916.340942,73.054207,-1270.438232,0,0,0,100,
233,hanen,-1916.340942,94.332405,-1712.377808,0,0,0,100,
234,enchu,-1916.340942,123.921654,-1478.771729,0,0,0,100,
235,hanen,-1916.340820,73.054527,-1775.447388,0,0,0,100,
236,enban,-1916.340820,94.332405,-1333.507935,0,0,0,100,
237,enchu,-1916.340820,112.587128,-1402.952515,0,0,0,100,
238,sphere,-1915.572388,79.074936,-1288.567871,0,0,0,100,
239,hankyu,-1915.572266,65.873245,-1800.720459,0,0,0,100,
240,hanen,-1915.572266,79.074936,-1757.317871,0,0,0,100,
241,hanen,-1913.436035,95.121857,-1718.187500,0,0,0,100,
242,bigCube,-1913.436035,126.777351,-1564.209473,0,0,0,100,
243,hankyu,-1912.543213,61.257355,-1815.256104,0,0,0,100,
244,hanen,-1912.543213,86.322914,-1745.811523,0,0,0,100,
245,smallCube,-1912.543213,107.732086,-1676.367188,0,0,0,100,
246,enchu,-1911.593750,127.987793,-1473.210571,0,0,0,100,
247,bigCube,-1911.593750,127.987808,-1572.675293,0,0,0,100,
248,enchu,-1911.051270,122.058006,-1429.807861,0,0,0,100,
249,bigCube,-1911.051270,130.137238,-1546.633667,0,0,0,100,
250,hanen,-1911.051147,83.595535,-1754.966797,0,0,0,100,
251,smallCube,-1911.051147,105.882309,-1685.522461,0,0,0,100,
252,hanen,-1910.237427,71.420418,-1794.029297,0,0,0,100,
253,sphere,-1910.237427,78.928764,-1276.541748,0,0,0,100,
254,smallCube,-1910.237427,115.850098,-1655.140381,0,0,0,100,
255,hanen,-1910.237305,78.928879,-1769.343994,0,0,0,100,
256,enban,-1910.237305,95.991196,-1321.300781,0,0,0,100,
257,enchu,-1910.237305,128.483307,-1460.189819,0,0,0,100,
258,sphere,-1907.208252,77.924820,-1266.685669,0,0,0,100,
259,smallCube,-1907.208252,119.624100,-1648.313477,0,0,0,100,
260,enban,-1907.208252,119.624100,-1397.572266,0,0,0,100,
261,enchu,-1907.208252,131.682556,-1467.016602,0,0,0,100,
262,enban,-1906.891846,105.705833,-1349.331787,0,0,0,100,
263,smallCube,-1906.891846,123.444778,-1627.109619,0,0,0,100,
264,bigCube,-1906.891846,133.210999,-1557.665283,0,0,0,100,
265,bigCube,-1906.891724,131.187408,-1592.387451,0,0,0,100,
266,hankyu,-1906.575317,62.009457,-1822.241211,0,0,0,100,
267,hankyu,-1906.575317,65.648521,-1814.238770,0,0,0,100,
268,hanen,-1906.575317,88.004089,-1752.796631,0,0,0,100,
269,sphere,-1906.575317,88.004089,-1293.088989,0,0,0,100,
270,hanen,-1906.575317,91.403854,-1744.794189,0,0,0,100,
271,enban,-1906.575317,91.403854,-1301.091431,0,0,0,100,
272,smallCube,-1906.575317,110.517838,-1683.352295,0,0,0,100,
273,smallCube,-1906.575317,126.681282,-1613.907959,0,0,0,100,
274,bigCube,-1906.575317,134.528778,-1501.422363,0,0,0,100,
275,sphere,-1903.546143,59.520950,-1213.788574,0,0,0,100,
276,hanen,-1903.546143,96.663818,-1737.967285,0,0,0,100,
277,bigCube,-1903.546021,138.532227,-1516.251709,0,0,0,100,
278,hanen,-1902.732178,81.531570,-1777.029907,0,0,0,100,
279,hanen,-1902.732178,101.883224,-1724.404053,0,0,0,100,
280,hanen,-1902.732178,106.148346,-1707.585449,0,0,0,100,
281,smallCube,-1902.732178,122.402496,-1654.959473,0,0,0,100,
282,enban,-1902.732178,122.402504,-1390.926270,0,0,0,100,
283,hanen,-1901.240356,79.728973,-1786.185181,0,0,0,100,
284,bigCube,-1901.240356,137.260986,-1577.851807,0,0,0,100,
285,enchu,-1901.240356,137.260986,-1468.033936,0,0,0,100,
286,sphere,-1900.347412,69.943069,-1232.076416,0,0,0,100,
287,smallCube,-1900.347412,118.827820,-1674.920166,0,0,0,100,
288,smallCube,-1900.347412,130.956329,-1620.565186,0,0,0,100,
289,enchu,-1900.347412,134.321060,-1440.409912,0,0,0,100,
290,bigCube,-1900.347412,139.892242,-1551.120850,0,0,0,100,
291,cube,-1898.211182,85.222855,-1271.206787,0,0,0,100,
292,smallCube,-1898.211182,103.662285,-1731.276123,0,0,0,100,
293,sphere,-1898.211182,110.266327,-1340.651245,0,0,0,100,
294,enchu,-1898.211182,139.215256,-1592.387451,0,0,0,100,
295,enchu,-1898.211182,140.732956,-1566.345703,0,0,0,100,
296,hanen,-1897.442749,66.314911,-1825.993896,0,0,0,100,
297,cube,-1897.442749,69.213402,-1226.266846,0,0,0,100,
298,sphere,-1897.442749,119.355637,-1365.155762,0,0,0,100,
299,bigCube,-1897.442749,134.290482,-1617.660522,0,0,0,100,
300,enban,-1897.442749,134.290482,-1428.225586,0,0,0,100,
301,bigCube,-1897.442749,135.711975,-1611.285767,0,0,0,100,
302,enban,-1897.442749,135.711975,-1434.600464,0,0,0,100,
303,enchu,-1897.442749,143.349945,-1504.044800,0,0,0,100,
304,cube,-1895.860229,88.974968,-1275.727905,0,0,0,100,
305,smallCube,-1895.860229,102.574051,-1738.148193,0,0,0,100,
306,enban,-1895.860229,132.719330,-1414.616943,0,0,0,100,
307,enchu,-1895.860229,139.857071,-1599.259521,0,0,0,100,
308,hanen,-1895.860107,61.168106,-1839.602417,0,0,0,100,
309,cube,-1895.860107,75.723984,-1238.292969,0,0,0,100,
310,sphere,-1895.860107,102.574051,-1307.737549,0,0,0,100,
311,smallCube,-1895.860107,113.863174,-1700.713379,0,0,0,100,
312,hanen,-1895.362793,55.891075,-1854.295898,0,0,0,100,
313,bigCube,-1895.362793,128.882401,-1654.507446,0,0,0,100,
314,bigCube,-1895.362793,130.311249,-1645.962524,0,0,0,100,
315,sphere,-1895.362793,130.311249,-1399.923218,0,0,0,100,
316,enban,-1895.362793,142.276245,-1460.822632,0,0,0,100,
317,hanen,-1895.317749,68.680038,-1823.868896,0,0,0,100,
318,smallCube,-1895.317749,96.081879,-1754.424194,0,0,0,100,
319,enban,-1895.317749,136.729462,-1430.350586,0,0,0,100,
320,enchu,-1895.317749,145.027222,-1546.091187,0,0,0,100,
321,hanen,-1893.690186,64.632095,-1835.126465,0,0,0,100,
322,cube,-1893.690186,74.130318,-1231.646973,0,0,0,100,
323,smallCube,-1893.690186,92.567001,-1765.681885,0,0,0,100,
324,cube,-1893.690186,92.567001,-1280.203857,0,0,0,100,
325,sphere,-1893.690186,101.440964,-1301.091431,0,0,0,100,
326,bigCube,-1893.690186,117.287323,-1696.237427,0,0,0,100,
327,sphere,-1893.690186,124.465683,-1370.535889,0,0,0,100,
328,enban,-1893.690186,140.382050,-1439.980469,0,0,0,100,
329,sphere,-1891.881714,120.366081,-1354.033813,0,0,0,100,
330,bigCube,-1891.881714,123.908646,-1681.543823,0,0,0,100,
331,bigCube,-1891.881714,138.374756,-1622.407593,0,0,0,100,
332,enban,-1891.881714,138.374756,-1423.478516,0,0,0,100,
333,bigCube,-1891.881714,140.673340,-1612.099487,0,0,0,100,
334,enban,-1891.881714,147.739410,-1492.922852,0,0,0,100,
335,enchu,-1891.881714,148.535156,-1542.655151,0,0,0,100,
336,sphere,-1891.067993,122.704742,-1358.781006,0,0,0,100,
337,bigCube,-1891.067993,122.704758,-1687.104858,0,0,0,100,
338,bigCube,-1891.067993,140.185928,-1617.660522,0,0,0,100,
339,enchu,-1891.067993,148.873871,-1548.216187,0,0,0,100,
340,enban,-1891.067993,148.873871,-1497.670044,0,0,0,100,
341,hanen,-1889.530640,83.016144,-1800.720459,0,0,0,100,
342,smallCube,-1889.530640,88.296814,-1783.359375,0,0,0,100,
343,ghost,-1889.530518,59.331047,-1193.081787,0,0,0,100,
344,sphere,-1889.530518,114.826820,-1331.970703,0,0,0,100,
345,smallCube,-1888.083740,86.388832,-1792.763428,0,0,0,100,
346,enchu,-1888.083740,149.044830,-1584.430054,0,0,0,100,
347,enban,-1888.083740,149.044830,-1461.455566,0,0,0,100,
348,hanen,-1888.038574,80.667618,-1808.044800,0,0,0,100,
349,sphere,-1888.038574,108.474670,-1307.285400,0,0,0,100,
350,bigCube,-1888.038574,138.309464,-1638.638428,0,0,0,100,
351,enchu,-1888.038574,146.989685,-1599.711670,0,0,0,100,
352,enban,-1888.038574,146.989685,-1446.174438,0,0,0,100,
353,cube,-1886.704956,66.516190,-1204.791626,0,0,0,100,
354,hanen,-1886.704956,66.516441,-1841.094238,0,0,0,100,
355,hanen,-1886.704956,78.266312,-1815.256104,0,0,0,100,
356,smallCube,-1886.704956,95.472748,-1771.649658,0,0,0,100,
357,smallCube,-1886.704956,106.449974,-1745.811646,0,0,0,100,
358,bigCube,-1886.704956,140.853500,-1632.760986,0,0,0,100,
359,enban,-1886.704956,151.825531,-1482.569458,0,0,0,100,
360,enchu,-1886.704956,153.820160,-1537.478638,0,0,0,100,
361,enchu,-1886.704956,153.820160,-1508.407471,0,0,0,100,
362,cube,-1885.687744,75.759247,-1223.644531,0,0,0,100,
363,hanen,-1885.687744,75.759483,-1822.241211,0,0,0,100,
364,sphere,-1885.687744,124.241684,-1349.648315,0,0,0,100,
365,bigCube,-1885.687744,145.998291,-1613.907959,0,0,0,100,
366,hanen,-1885.258057,73.014801,-1828.898682,0,0,0,100,
367,smallCube,-1885.258057,101.781006,-1759.453857,0,0,0,100,
368,bigCube,-1885.258057,126.755241,-1690.009521,0,0,0,100,
369,enchu,-1885.258057,154.132355,-1551.120850,0,0,0,100,
370,enban,-1885.258057,154.132355,-1494.765015,0,0,0,100,
371,hanen,-1880.849976,58.427734,-1870.165161,0,0,0,100,
372,ghost,-1880.849976,61.098026,-1184.401245,0,0,0,100,
373,smallCube,-1880.849976,91.370773,-1792.040039,0,0,0,100,
374,cube,-1880.849976,91.370773,-1253.845581,0,0,0,100,
375,sphere,-1880.849976,140.269821,-1384.054077,0,0,0,100,
376,sphere,-1880.849976,141.721344,-1392.734619,0,0,0,100,
377,enchu,-1880.849976,155.270966,-1592.387329,0,0,0,100,
378,enban,-1880.849976,155.270966,-1453.498535,0,0,0,100,
379,enchu,-1880.849976,155.776855,-1583.706787,0,0,0,100,
380,smallCube,-1880.126709,95.007500,-1784.806152,0,0,0,100,
381,sphere,-1880.126709,114.368912,-1306.652466,0,0,0,100,
382,smallCube,-1880.126709,122.501984,-1715.361816,0,0,0,100,
383,bigCube,-1880.126709,144.003387,-1645.917358,0,0,0,100,
384,enban,-1880.126709,154.165588,-1445.541382,0,0,0,100,
385,hanen,-1880.126587,85.588120,-1808.677734,0,0,0,100,
386,bigCube,-1880.126587,154.165588,-1600.344482,0,0,0,100,
387,enchu,-1880.126587,160.536011,-1530.900146,0,0,0,100,
388,sphere,-1879.493652,135.994843,-1368.184814,0,0,0,100,
389,bigCube,-1879.493652,146.211884,-1638.638428,0,0,0,100,
390,bigCube,-1879.493652,152.986694,-1608.256592,0,0,0,100,
391,hanen,-1879.041626,72.239555,-1839.602417,0,0,0,100,
392,cube,-1879.041626,79.147507,-1221.474365,0,0,0,100,
393,hanen,-1879.041626,79.147621,-1824.411255,0,0,0,100,
394,smallCube,-1879.041626,108.529846,-1754.966797,0,0,0,100,
395,cube,-1879.041626,108.529846,-1290.918945,0,0,0,100,
396,smallCube,-1879.041626,128.479111,-1700.713379,0,0,0,100,
397,enban,-1879.041626,148.273285,-1414.616943,0,0,0,100,
398,smallCube,-1878.860718,105.405396,-1762.652710,0,0,0,100,
399,sphere,-1878.860718,131.215515,-1352.677490,0,0,0,100,
400,enban,-1878.860718,150.114075,-1422.121826,0,0,0,100,
401,enban,-1878.860718,159.922806,-1491.566406,0,0,0,100,
402,hanen,-1872.169434,62.865005,-1870.165161,0,0,0,100,
403,hanen,-1872.169434,70.759933,-1852.804077,0,0,0,100,
404,cube,-1872.169434,78.654861,-1210.442871,0,0,0,100,
405,cube,-1872.169434,82.602333,-1219.123413,0,0,0,100,
406,cube,-1872.169434,86.549805,-1227.803955,0,0,0,100,
