クエストID,開始タイプ,開始タイプオプション,開始イベント,完了タイプ,完了オプション１,完了オプション２,完了イベント
Q12,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",,調べたら,-222:31:536:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q13,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",,調べたら,-227:31:519:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q14,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",,調べたら,-230.0:33.0:478.0:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q15,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",,調べたら,-220.0:34.0:503.0:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q16,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",,調べたら,-214.0:34.0:522.0:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q17,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",,調べたら,-216.0:33.0:548.0:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q18,"一つでもクエストが完了していたら
クエストが完了していないなら","Q10:Q11:Q12:Q13:Q14:Q15:Q16:Q17
Q18",,調べたら,-240.0:33.0:550.0:120.0,,<talk>res\\script\\origin\\talkFinishQuest4.csv
Q19,"クエストが完了していたら
クエストが完了していないなら","Q18
Q19",,調べたら,-214:33:545:3 ,,<sound>res\\sound\\get_item.wav
Q20,"クエストが完了していたら
クエストが完了していないなら","Q18
Q20",,調べたら,-220:31:553:3 ,,<sound>res\\sound\\get_item.wav
Q21,"クエストが完了していたら
クエストが完了していないなら","Q18
Q21",,調べたら,-196:37:569:3 ,,<sound>res\\sound\\get_item.wav
Q22,"クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していないなら","Q19
Q20
Q21
Q22",,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest5.csv
Q23,"クエストが完了していたら
クエストが完了していないなら","Q22
Q23",,自動完了,,,<story>res\\script\\origin\\storyDream.csv
Q24,"クエストが完了していたら
クエストが完了していないなら","Q23
Q24",,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest6.csv
Q25,"クエストが完了していたら
クエストが完了していないなら","Q24
Q25",,調べたら,-218:75:207:120,,"<npc><サンカクマン><pos>-206:106.5:195
<npc><サンカクマン><rot>1.57
<npc><シカクマン><pos>-205:106.5:195
<npc><サンカクマン><talkEnable>y
<npc><サンカクマン><talkScript>res\\script\\origin\\talkFinishQuest8.csv
<talk>res\\script\\origin\\talkFinishQuest7.csv"
Q26,"クエストが完了していたら
クエストが完了していないなら","Q25
Q26",,人と話したら,サンカクマン,,
Q27,"クエストが完了していたら
クエストが完了していないなら","Q26
Q27",,位置,14:500:-594:40,,<talk>res\\script\\origin\\talkFinishQuest9-2.csv
Q28,"クエストが完了していたら
クエストが完了していないなら","Q27
Q28",,調べたら,24:492:-569:2,,<talk>res\\script\\origin\\talkFinishQuest9-3.csv
Q29,"クエストが完了していたら
クエストが完了していないなら","Q28
Q29",,位置,11:492:-559:3,,"<npc><ダイケイマン><pos>20:491.7:-563
<npc><ダイケイマン><talkEnable>y
<npc><ダイケイマン><talkScript>res\\script\\origin\\talkFinishQuest9-5.csv
<talk>res\\script\\origin\\talkFinishQuest9-4.csv"
Q30,"クエストが完了していたら
クエストが完了していないなら","Q29
Q30",,調べたら,-1365:12:-581:10,,"<npc><ダイケイマン><talkEnable>y
<npc><ダイケイマン><talkScript>res\\script\\origin\\talkFinishQuest11.csv
<talk>res\\script\\origin\\talkFinishQuest10.csv"
Q31,"クエストが完了していたら
クエストが完了していないなら","Q30
Q31",,人と話したら,ダイケイマン,,"<npc><サンカクマン><pos>2:0:0
<npc><シカクマン><pos>4:0:0
<item>袋:1:999"
Q32,"クエストが完了していたら
クエストが完了していないなら","Q31
Q32",,倉庫AにXがY個あったら,1:ココナッツの実:4,,"<npc><ダイケイマン><talkEnable>y
<npc><ダイケイマン><talkScript>res\\script\\origin\\talkFinishQuest13.csv"
Q33,"クエストが完了していたら
クエストが完了していないなら","Q32
Q33",,人と話したら,ダイケイマン,,
Q34,"クエストが完了していたら
クエストが完了していないなら","Q33
Q34",,調べたら,-206:106:198:120,,"<npc><ダイケイマン><pos>0:0:0
<talk>res\\script\\origin\\talkFinishQuest14.csv"
Q35,"クエストが完了していたら
クエストが完了していないなら","Q34
Q35",,調べたら,-206:106:198:10,,"
<talk>res\\script\\origin\\talkFinishQuest15.csv"
Q36,"クエストが完了していたら
クエストが完了していないなら","Q35
Q36",,位置,11:492:-559:20,,"
<talk>res\\script\\origin\\talkFinishQuest16.csv"
Q37,"クエストが完了していたら
クエストが完了していないなら","Q36
Q37",,位置,-1365:12:-581:20,,"
<talk>res\\script\\origin\\talkFinishQuest17.csv
<npc><ビム><pos>-1425.1:51.2:-595.9
<npc><ビム><rot>1.57"
Q38,"クエストが完了していたら
クエストが完了していないなら","Q37
Q38",,位置,11:492:-559:3,,"<talk>res\\script\\origin\\talkFinishQuest18.csv
<move>20:492:-569"
Q39,"クエストが完了していたら
クエストが完了していないなら","Q38
Q39",,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest19.csv
Q40,"クエストが完了していたら
クエストが完了していないなら","Q39
Q40",,位置が範囲外,11:492:-559:300,,"<talk>res\\script\\origin\\talkFinishQuest20.csv
<rynenContract>
<drinkWordBress>"
Q41,"クエストが完了していたら
クエストが完了していないなら","Q40
Q41",,位置,11:492:-559:100,,"<talk>res\\script\\origin\\talkFinishQuest21.csv
<item>松明:-1:999
<equip>松明"
Q42,"クエストが完了していたら
クエストが完了していないなら","Q41
Q42",,位置,11:492:-559:3,,<talk>res\\script\\origin\\talkFinishQuest22.csv
Q43,"クエストが完了していたら
クエストが完了していないなら","Q42
Q43",,位置,24:492:-569:2,,<talk>res\\script\\origin\\talkFinishQuest23.csv
Q44,"クエストが完了していたら
クエストが完了していないなら","Q43
Q44",,調べたら,20:492:-563:3,,<talk>res\\script\\origin\\talkFinishQuest24.csv
Q45,"クエストが完了していたら
クエストが完了していないなら","Q44
Q45",,位置,-1365:12:-581:10,,<talk>res\\script\\origin\\talkFinishQuest25.csv
Q46,"クエストが完了していたら
クエストが完了していないなら","Q45
Q46",,位置,-2050:30:-1563:50,,"<talk>res\\script\\origin\\talkFinishQuest26.csv
<sotetsu>"
Q47,"クエストが完了していたら
クエストが完了していないなら","Q46
Q47",,位置,11:492:-559:3,,<talk>res\\script\\origin\\talkFinishQuest27.csv
Q48,"クエストが完了していたら
クエストが完了していないなら","Q47
Q48",,"位置
インベントリにXがY個あったら","11:492:-559:3
赤い実:10",,<talk>res\\script\\origin\\talkFinishQuest28.csv
Q49,"クエストが完了していたら
クエストが完了していないなら","Q48
Q49",,インベントリに強化値XのYがZ個あったら,2:毒抜き用の袋:1,,"<talk>res\\script\\origin\\talkFinishQuest29.csv
<item>石槍:1:999"
Q50,"クエストが完了していたら
クエストが完了していないなら","Q49
Q50",,位置,161:639:-1130:30,,<talk>res\\script\\origin\\talkFinishQuest30.csv
Q51,"クエストが完了していたら
クエストが完了していないなら","Q50
Q51",,位置,11:492:-559:3,,<talk>res\\script\\origin\\talkFinishQuest31.csv
Q52,"クエストが完了していたら
クエストが完了していないなら","Q51
Q52",,位置,161:639:-1130:30,,<talk>res\\script\\origin\\talkFinishQuest32.csv
Q53,"クエストが完了していたら
クエストが完了していないなら","Q52
Q53",,位置,11:492:-559:3,,<talk>res\\script\\origin\\talkFinishQuest33.csv
Q54,"クエストが完了していたら
クエストが完了していないなら","Q53
Q54",,位置,71:552:-1322:30,,<talk>res\\script\\origin\\talkFinishQuest34.csv
Q55,"クエストが完了していたら
クエストが完了していないなら","Q54
Q55",,位置,11:492:-559:3,,<talk>res\\script\\origin\\talkFinishQuest35.csv
Q56,"クエストが完了していたら
クエストが完了していないなら","Q55
Q56",,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest36.csv
Q57,"クエストが完了していたら
クエストが完了していないなら","Q56
Q57",,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest37.csv
Q58,"クエストが完了していたら
クエストが完了していないなら","Q57
Q58",,位置,627:970:-1705:20.0,,<talk>res\\script\\origin\\talkFinishQuest38.csv
Q59,"クエストが完了していたら
クエストが完了していないなら","Q58
Q59",,位置,11:492:-559:3,,<talk>res\\script\\origin\\talkFinishQuest39.csv
Q60,"クエストが完了していたら
クエストが完了していないなら","Q59
Q60",,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest40.csv
Q61,"クエストが完了していたら
クエストが完了していないなら","Q60
Q61",,位置,-1318:632:-1523:20,,<talk>res\\script\\origin\\talkFinishQuest41.csv
Q62,"クエストが完了していたら
クエストが完了していないなら","Q61
Q62",,位置,11:492:-559:3,,<talk>res\\script\\origin\\talkFinishQuest42.csv
Q63,"クエストが完了していたら
クエストが完了していないなら","Q62
Q63",,位置,2279:14:-618:30,,<talk>res\\script\\origin\\talkFinishQuest43.csv
Q64,"クエストが完了していたら
クエストが完了していないなら","Q63
Q64",,位置,11:492:-559:3,,<talk>res\\script\\origin\\talkFinishQuest44.csv
Q65,"クエストが完了していたら
クエストが完了していないなら","Q64
Q65",,位置,627:970:-1705:20.0,,<talk>res\\script\\origin\\talkFinishQuest45.csv
Q66,"クエストが完了していたら
クエストが完了していないなら","Q65
Q66",,位置,11:492:-559:3,,<talk>res\\script\\origin\\talkFinishQuest46.csv
Q67,"クエストが完了していたら
クエストが完了していないなら","Q66
Q67",,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest47.csv
Q68,"クエストが完了していたら
クエストが完了していないなら","Q67
Q68",,時間が経過したら,0:0:0:1:0:0,,<talk>res\\script\\origin\\talkFinishQuest48.csv
Q69,"クエストが完了していたら
クエストが完了していないなら","Q68
Q69",,位置,1172.0:16.0:330.0:400.0,,<talk>res\\script\\origin\\talkFinishQuest49.csv
Q70,"クエストが完了していたら
クエストが完了していないなら","Q69
Q70",,位置,1172.0:16.0:330.0:200.0,,<talk>res\\script\\origin\\talkFinishQuest50.csv
Q71,"クエストが完了していたら
クエストが完了していないなら","Q70
Q71",,時間が経過したら,0:1:0:0:0:0,,<talk>res\\script\\origin\\talkFinishQuest51.csv
Q72,"クエストが完了していたら
クエストが完了していないなら","Q71
Q72",,位置,11:492:-559:3,,<talk>res\\script\\origin\\talkFinishQuest52.csv
Q73,"クエストが完了していたら
クエストが完了していないなら","Q72
Q73",,時間が経過したら,0:0:3:0:0:0,,<talk>res\\script\\origin\\talkFinishQuest53.csv
Q74,"クエストが完了していたら
クエストが完了していないなら","Q73
Q74",,位置,-1318:632:-1523:20,,<talk>res\\script\\origin\\talkFinishQuest54.csv
Q75,"クエストが完了していたら
クエストが完了していないなら","Q74
Q75",,"位置
夜だったら",2279:14:-618:30,,<talk>res\\script\\origin\\talkFinishQuest55.csv
Q76,"クエストが完了していたら
クエストが完了していないなら","Q75
Q76",,位置,1172.0:16.0:330.0:100.0,,<talk>res\\script\\origin\\talkFinishQuest56.csv
Q77,"クエストが完了していたら
クエストが完了していないなら","Q76
Q77",,位置,161:639:-1130:30,,<talk>res\\script\\origin\\talkFinishQuest57.csv
Q78,"クエストが完了していたら
クエストが完了していないなら","Q77
Q78",,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest58.csv
Q79,"クエストが完了していたら
クエストが完了していないなら","Q78
Q79",,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest59.csv
Q80,"クエストが完了していたら
クエストが完了していないなら","Q79
Q80",,"時間が経過したら
夜だったら",0:0:2:0:0:0,,<talk>res\\script\\origin\\talkFinishQuest60.csv
Q81,"クエストが完了していたら
クエストが完了していないなら","Q80
Q81",,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest61.csv
Q82,クエストが完了していたら,Q1,,位置,-200000:0:0:100000,,<ending>
