ID,名称,詳細,画像のファイル名,重量(kg),体積(mL),種類,糖質,タンパク質,脂質,ビタミン,ミネラル,水分,デバフ（体のスタミナ）,デバフ（脳のスタミナ）,デバフ（肉体の修復度）,デバフ（頭痛）,デバフ（腹痛）,強化値,耐久値の初期値,weaponId,未強化時ID
raft9,イカダ,"５分で壊れる。
＋１０まで強化でき、耐久力、耐荷重量が上がっていく。 
",res\\image\\raft.png,100,500000,その他,,,,,,,,,,,,9,1000,,raft
raft10,イカダ,"５分で壊れる。
＋１０まで強化でき、耐久力、耐荷重量が上がっていく。 
",res\\image\\raft.png,100,500000,その他,,,,,,,,,,,,10,1100,,raft
branch,木の枝,木の枝,res\\image\\stick2.png,0.3,500,素材,,,,,,,,,,,,,,,branch
trunk,細い木の幹,細い木の幹,res\\image\\stick.png,1,2000,素材,,,,,,,,,,,,,,,trunk
tsuta,ツタ,ツタ,res\\image\\tsuta.png,0.2,500,素材,,,,,,,,,,,,,,,tsuta
stone,石,,,0.5,500,武器,,,,,,,,,,,,,,w1,stone
stick,木の棒,,,1,2000,武器,,,,,,,,,,,,,,w2,stick
stick1,木の棒,,,1,2000,武器,,,,,,,,,,,,1,,w2,stick
stick2,木の棒,,,1,2000,武器,,,,,,,,,,,,2,,w2,stick
stick3,木の棒,,,1,2000,武器,,,,,,,,,,,,3,,w2,stick
stick4,木の棒,,,1,2000,武器,,,,,,,,,,,,4,,w2,stick
stick5,木の棒,,,1,2000,武器,,,,,,,,,,,,5,,w2,stick
stoneSpear,石槍,,,1,2000,武器,,,,,,,,,,,,,,w3,stoneSpear
stoneSpear1,石槍,,,1,2000,武器,,,,,,,,,,,,1,,w3,stoneSpear
stoneSpear2,石槍,,,1,2000,武器,,,,,,,,,,,,2,,w3,stoneSpear
stoneSpear3,石槍,,,1,2000,武器,,,,,,,,,,,,3,,w3,stoneSpear
stoneSpear4,石槍,,,1,2000,武器,,,,,,,,,,,,4,,w3,stoneSpear
stoneSpear5,石槍,,,1,2000,武器,,,,,,,,,,,,5,,w3,stoneSpear
bow,弓矢の弓,,,1,3000,武器,,,,,,,,,,,,,,w4,bow
bow1,弓矢の弓,,,1,3000,武器,,,,,,,,,,,,1,,w4,bow
bow2,弓矢の弓,,,1,3000,武器,,,,,,,,,,,,2,,w4,bow
bow3,弓矢の弓,,,1,3000,武器,,,,,,,,,,,,3,,w4,bow
bow4,弓矢の弓,,,1,3000,武器,,,,,,,,,,,,4,,w4,bow
bow5,弓矢の弓,,,1,3000,武器,,,,,,,,,,,,5,,w4,bow
bow6,弓矢の弓,,,1,3000,武器,,,,,,,,,,,,6,,w4,bow
bow7,弓矢の弓,,,1,3000,武器,,,,,,,,,,,,7,,w4,bow
bow8,弓矢の弓,,,1,3000,武器,,,,,,,,,,,,8,,w4,bow
bow9,弓矢の弓,,,1,3000,武器,,,,,,,,,,,,9,,w4,bow
bow10,弓矢の弓,,,1,3000,武器,,,,,,,,,,,,10,,w4,bow
ironPipe,鉄パイプ,,,1,2000,武器,,,,,,,,,,,,,,w5,ironPipe
ironPipeEx,石付き鉄パイプ,,,2,3000,武器,,,,,,,,,,,,,,w6,ironPipeEx
stoneAxe,石斧,,,1.5,2000,武器,,,,,,,,,,,,,,w7,stoneAxe
stoneAxe1,石斧,,,1.5,2000,武器,,,,,,,,,,,,1,,w7,stoneAxe
stoneAxe2,石斧,,,1.5,2000,武器,,,,,,,,,,,,2,,w7,stoneAxe
stoneAxe3,石斧,,,1.5,2000,武器,,,,,,,,,,,,3,,w7,stoneAxe
stoneAxe4,石斧,,,1.5,2000,武器,,,,,,,,,,,,4,,w7,stoneAxe
stoneAxe5,石斧,,,1.5,2000,武器,,,,,,,,,,,,5,,w7,stoneAxe
arrow,弓矢の矢,,,0.2,500,武器,,,,,,,,,,,,,,w8,arrow
arrow1,弓矢の矢,,,0.2,500,武器,,,,,,,,,,,,1,,w8,arrow
atlatl,アトラトル,,,0.4,500,武器,,,,,,,,,,,,,,w9,atlatl
spearForAtlatl,アトラトルに使う槍,,,0.6,2000,武器,,,,,,,,,,,,,,w10,spearForAtlatl
spearForAtlatl1,アトラトルに使う槍,,,0.6,2000,武器,,,,,,,,,,,,1,,w10,spearForAtlatl
spearForAtlatl2,アトラトルに使う槍,,,0.6,2000,武器,,,,,,,,,,,,2,,w10,spearForAtlatl
spearForAtlatl3,アトラトルに使う槍,,,0.6,2000,武器,,,,,,,,,,,,3,,w10,spearForAtlatl
spearForAtlatl4,アトラトルに使う槍,,,0.6,2000,武器,,,,,,,,,,,,4,,w10,spearForAtlatl
spearForAtlatl5,アトラトルに使う槍,,,0.6,2000,武器,,,,,,,,,,,,5,,w10,spearForAtlatl
bagForDetox,毒抜き用の袋,"ツタで作った袋。ソテツの毒抜きをするのに使う。
編み物をしたことのある人がいなかったので雰囲気で作られた。
一度使うと壊れる。
＋５まで強化できる。
",res\\image\\bag2.png,0.7,1200,その他,,,,,,,,,,,,,,,bagForDetox
bagForDetox1,毒抜き用の袋,"ツタで作った袋。ソテツの毒抜きをするのに使う。
編み物をしたことのある人がいなかったので雰囲気で作られた。
一度使うと壊れる。
＋５まで強化できる。
",res\\image\\bag2.png,0.7,1200,その他,,,,,,,,,,,,1,10,,bagForDetox
bagForDetox2,毒抜き用の袋,"ツタで作った袋。ソテツの毒抜きをするのに使う。
編み物をしたことのある人がいなかったので雰囲気で作られた。
一度使うと壊れる。
＋５まで強化できる。
",res\\image\\bag2.png,0.7,1200,その他,,,,,,,,,,,,2,20,,bagForDetox
bagForDetox3,毒抜き用の袋,"ツタで作った袋。ソテツの毒抜きをするのに使う。
編み物をしたことのある人がいなかったので雰囲気で作られた。
一度使うと壊れる。
＋５まで強化できる。
",res\\image\\bag2.png,0.7,1200,その他,,,,,,,,,,,,3,30,,bagForDetox
bagForDetox4,毒抜き用の袋,"ツタで作った袋。ソテツの毒抜きをするのに使う。
編み物をしたことのある人がいなかったので雰囲気で作られた。
一度使うと壊れる。
＋５まで強化できる。
",res\\image\\bag2.png,0.7,1200,その他,,,,,,,,,,,,4,40,,bagForDetox
bagForDetox5,毒抜き用の袋,"ツタで作った袋。ソテツの毒抜きをするのに使う。
編み物をしたことのある人がいなかったので雰囲気で作られた。
一度使うと壊れる。
＋５まで強化できる。
",res\\image\\bag2.png,0.7,1200,その他,,,,,,,,,,,,5,50,,bagForDetox
torch,松明,,,1,2000,武器,,,,,,,,,,,,,,w11,torch
