ID,オプション1,オプション2,オプション3,Unnamed: 4
23,"(Do I run without fighting...?
But I want to come here again and again to collect boat materials...)",res\\image\\hoshiman00.png,res\\image\\noble00.png,res\\image\\talkMinatoato.png
24,"The ghost he'd fought before had clearly meant to attack.
This one seemed to be drawing near only out of base impulse.",res\\image\\hoshiman00.png,res\\image\\noble00.png,res\\image\\talkMinatoato.png
25,(I don't sense any magical attack coming...),res\\image\\hoshiman00.png,res\\image\\noble00.png,res\\image\\talkMinatoato.png
26,"The ghost moved slowly; as long as he walked, it wouldn't catch up.",res\\image\\hoshiman00.png,res\\image\\noble00.png,res\\image\\talkMinatoato.png
27,<BWOO>,res\\image\\hoshiman00.png,res\\image\\noble00.png,res\\image\\talkMinatoato.png
28,"Star Man summoned black flames and hurled them at the foe.
The ghost stopped and stared at the flames.
When the flames touched the ghost, it burst into flame.",res\\image\\hoshiman00.png,res\\image\\noble00.png,res\\image\\talkMinatoato.png
29,The ghost writhed and seemed to be in pain.,res\\image\\hoshiman00.png,res\\image\\noble00.png,res\\image\\talkMinatoato.png
30,"Star Man watched a while, and the ghost simply burned out and vanished.",res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
31,"""Aww, you went and killed it (laughs).""",res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
32,"There was a grinning man—skinny, with legs trembling.",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
33,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
34,"""Are you the man named Nes?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
35,"""Nope! That's not me (laughs). Who's that even (laughs)?
Never heard of such a person (laughs).""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
36,The man straightened his collar.,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
37,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
38,"""Tell me your name.""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
39,"""Well now. No idea. I forgot it (laughs).""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
40,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
41,"""Was the ghost you just took down the man named Noble?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
42,"""Beats me (laughs). Was there someone like that (laughs)?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
43,The man popped his collar and then fixed it again.,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
44,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
45,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
46,"""What are you doing here?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
47,"""Oh, uh—robbery‑murder (laughs).""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
48,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
49,"""Robbery‑murder?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
50,"""Yup, killed e‑veryone who was around here,
stripped them of their money, chopped up the bodies,
and buried them (laughs). Ahh, it was the best (laughs).""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
51,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
52,"Star Man looked around, but it was a ruin decades old—
a far cry from a grisly crime scene.",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
53,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
54,"""You killed a man named Noble and robbed him?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
55,"""Yup yup (laughs).""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
56,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
57,"""Are you going to stab me? If you are, say so first (laughs).""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
58,"""If you're that dangerous, I can't let you live.""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
59,Star Man raised his stone axe.,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
60,"""C'mon, obviously I'm joking (laughs).
You're kinda weird, you know that (laughs)?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
61,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
62,"""People must hate you a lot (laughs).
Don't folks tell you you're too thick to talk to (laughs)?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
63,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
64,"""...(laughs)""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
65,"The man looked at Star Man with a smug smile, triumphant.",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
66,"""Back to the start—are you 'Nes'?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
67,"""Ehh? Who's 'Nes' supposed to be (laughs)?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
68,"""Then what's your name?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
69,"""Hey now, shouldn't you introduce yourself first (laughs)?
Why do I gotta be the only one to tell you (laughs)?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
70,"""I'm Star Man.""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
71,"""Star Man, huh? Never heard such a dumb name before (laughs).
Your parents are totally *** right (laughs)? Wee‑woo, wee‑woo (laughs).""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
72,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
73,"""So what's your name?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
74,"""Eh (laughs)? Why should I tell you (laughs)?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
75,"""Hey...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
76,"""We never agreed to that (laughs). You're the one who blurted yours out (laughs).
Oh, I remembered—my name's Star Man (laughs).""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
77,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
78,"""Man, what a weird name (laughs). It's been rough (laughs).""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
79,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
80,"""Well then... I'll get out of your hair.""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
81,Star Man turned and started walking toward Precision.,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
82,(So every time I come here I might run into this guy...),res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
83,"""Aww, finally gone (laughs).
Whew, I'm tired of dealing with *** (laughs).
Saved me there (laughs). Take care now (laughs)!""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
84,Star Man ignored him and kept walking.,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
85,"""Ah! Someone's stealing the buoys!""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
86,Star Man stopped in his tracks.,res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
87,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
88,"""Aw, come on, that's a problem.""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
89,"""How is it a problem?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
90,"""I need them for a mass killing (laughs).""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
91,"""These? How would you use them for mass murder?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
92,"""Nope, can't tell you that (laughs).
Why should I tell *** like you (laughs)?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
93,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
94,"""Where the hell did the idea I'm *** come from?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
95,"""C'mon, your parents are *** right (laughs)?
So as their kid you're *** too (laughs).
You're literally stealing our buoys (laughs).""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
96,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
97,"""We could use them to kill your parents, too (laughs).
When lots of people die, it's the best (laughs).""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
98,"At last the man clutched his stomach and sat down on the ground.
He kicked his feet and slapped the ground, laughing.",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
99,"""...I see...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
100,Star Man left the Virtual Bex Port Ruins.,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
101,"(There are people who burst out laughing at funerals.
I hadn't run into one for a while—I'd forgotten...)",res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
102,"Star Man wasn't trembling from anger or fear,
but from the shock of encountering the unknown.",res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
