クエストID,開始タイプ,開始タイプオプション,開始イベント,完了タイプ,完了オプション１,完了オプション２,完了イベント
Q12,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",,調べたら,-222:31:536:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q13,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",,調べたら,-227:31:519:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q14,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",,調べたら,-230.0:33.0:478.0:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q15,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",,調べたら,-220.0:34.0:503.0:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q16,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",,調べたら,-214.0:34.0:522.0:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q17,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",,調べたら,-216.0:33.0:548.0:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q18,"一つでもクエストが完了していたら
クエストが完了していないなら","Q10:Q11:Q12:Q13:Q14:Q15:Q16:Q17
Q18",,調べたら,-240.0:33.0:550.0:120.0,,<talk>res\\script\\origin\\talkFinishQuest4.csv
Q19,"クエストが完了していたら
クエストが完了していないなら","Q18
Q19",,調べたら,-214:33:545:3 ,,<sound>res\\sound\\get_item.wav
Q20,"クエストが完了していたら
クエストが完了していないなら","Q18
Q20",,調べたら,-220:31:553:3 ,,<sound>res\\sound\\get_item.wav
Q21,"クエストが完了していたら
クエストが完了していないなら","Q18
Q21",,調べたら,-196:37:569:3 ,,<sound>res\\sound\\get_item.wav
Q22,"クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していないなら","Q19
Q20
Q21
Q22",,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest5.csv
Q23,"一つでもクエストが完了していたら
クエストが完了していないなら","Q22
Q23",,自動完了,,,<story>res\\script\\origin\\storyDream.csv
Q24,"一つでもクエストが完了していたら
クエストが完了していないなら","Q23
Q24",,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest6.csv
Q25,"一つでもクエストが完了していたら
クエストが完了していないなら","Q24
Q25",,調べたら,-218:75:207:120,,"<talk>res\\script\\origin\\talkFinishQuest7.csv
<npc><サンカクマン><pos>-207:97:202
<npc><サンカクマン><rot>1.57
<npc><シカクマン><pos>-208:97:202
<npc><サンカクマン><talkEnable>y
<npc><サンカクマン><talkScript>res\\script\\origin\\talkFinishQuest8.csv"
Q26,"一つでもクエストが完了していたら
クエストが完了していないなら","Q25
Q26",,話したら,サンカクマン,,"<npc><ダイケイマン><pos>-11:490.7:-572
<npc><ダイケイマン><talkEnable>y
<npc><ダイケイマン><talkScript>res\\script\\origin\\talkFinishQuest9.csv"
Q27,"一つでもクエストが完了していたら
クエストが完了していないなら","Q26
Q27",,話したら,ダイケイマン,,"<npc><サンカクマン><pos>0:0:0
<npc><シカクマン><pos>0:0:0"
Q28,"一つでもクエストが完了していたら
クエストが完了していないなら","Q27
Q28",,調べたら,-1344:14:-594:50,,"<npc><ダイケイマン><talkEnable>y
<npc><ダイケイマン><talkScript>res\\script\\origin\\talkFinishQuest11.csv
<talk>res\\script\\origin\\talkFinishQuest10.csv"
Q29,"一つでもクエストが完了していたら
クエストが完了していないなら","Q28
Q29",,話したら,ダイケイマン,,
Q30,"一つでもクエストが完了していたら
クエストが完了していないなら","Q29
Q30",,調べたら,-1344:14:-594:50,,"<npc><ダイケイマン><talkEnable>y
<npc><ダイケイマン><talkScript>res\\script\\origin\\talkFinishQuest13.csv
<talk>res\\script\\origin\\talkFinishQuest12.csv"
Q31,"一つでもクエストが完了していたら
クエストが完了していないなら","Q30
Q31",,話したら,ダイケイマン,,
Q32,"一つでもクエストが完了していたら
クエストが完了していないなら","Q31
Q32",,調べたら,-218:75:207:120,,"<npc><ダイケイマン><pos>0:0:0
<talk>res\\script\\origin\\talkFinishQuest14.csv"
Q33,"一つでもクエストが完了していたら
クエストが完了していないなら","Q32
Q33",,調べたら,-218:75:207:10,,"
<talk>res\\script\\origin\\talkFinishQuest15.csv"
Q34,"一つでもクエストが完了していたら
クエストが完了していないなら","Q33
Q34",,位置,-11:490.7:-572:20,,"
<talk>res\\script\\origin\\talkFinishQuest16.csv"
Q35,,,,,,,
Q36,,,,,,,
Q37,,,,,,,
Q98,"クエストが完了していたら
クエストが完了していないなら","Q97
Q98",,位置,1172.0:16.0:330.0:20.0,,<talk>res\\script\\origin\\talkFinishQuest99.csv
Q99,"クエストが完了していたら
クエストが完了していないなら","Q98
Q99",,自動完了,,,<ending>
