ID,Option 1,オプション2,オプション3,,
61,"""Go away,"" Trapezoid Man said.",,res\\image\\nes00.png,,
62,"""Eeh? (laugh) Why can't I hang out here? (laugh)""",,res\\image\\nes00.png,,
63,"""Square Man is dead..."" Triangle Man said.",res\\image\\daikeiman00.png,res\\image\\nes00.png,,
64,"""Aww, that's soooo sad! (laugh) Boo‑hoo, boo‑hoo! (laugh)""",res\\image\\daikeiman00.png,res\\image\\nes00.png,,
65,"""...""",res\\image\\daikeiman00.png,res\\image\\nes00.png,,
66,"Nes covered his mouth, crouching as though to hide his face.",res\\image\\sankakuman00.png,res\\image\\nes00.png,,
67,"""Nff... nff...""",res\\image\\sankakuman00.png,res\\image\\nes00.png,,
68,"""You...""",res\\image\\sankakuman00.png,res\\image\\nes00.png,,
69,"""Ahahaha! Someone's dead! (laugh) Time to party!
Guess I'll drink all day! (laugh)""",res\\image\\sankakuman00.png,res\\image\\nes00.png,,
70,Nes laughed so hard he fell to his knees.,res\\image\\sankakuman00.png,res\\image\\nes00.png,,
71,"""...""",res\\image\\daikeiman00.png,res\\image\\nes00.png,,
72,"""Why do you laugh?""",res\\image\\daikeiman00.png,res\\image\\nes00.png,,
73,"""Because none of you are actually sad—pretending is hilarious! (laugh)""",res\\image\\daikeiman00.png,res\\image\\nes00.png,,
74,"""Pretending...?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
75,"""Obviously you're not sad! (laugh) Anyone can see it's, ahaha, a totally different person!""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
76,"Nes rolled on the ground, kicking his legs.",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
77,"""Ahahahaha—pff—kuh—ahahaha!""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
78,"""Do you know why Square Man died?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
79,"""Nope! (laugh) Not a clue! (laugh) Why would I know?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
80,Star Man straddled Nes; he was laughing too hard to resist.,res\\image\\hoshiman00.png,res\\image\\nes00.png,,
81,"""Tell me what you know.""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
82,"""I'm telling you, I know nothing—(laugh)!""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
83,<Bang>,res\\image\\hoshiman00.png,res\\image\\nes00.png,,
84,Star Man punched him and shook his head violently.,res\\image\\hoshiman00.png,res\\image\\nes00.png,,
85,"""TELL ME!!!""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
86,"""Hey, hey—(laugh) He kept eating even though I told him not to!
I said, 'Those are sago seeds—eat them and you die!'""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
87,"""He went 'Munch munch, yum yum, sooo tasty!' and kept eating (laugh)""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
88,"""That's impossible; Square Man knew those berries were lethal!""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
89,"""Sooo I kept saying, 'Stop right now!' even tried to restrain him, but he kept eating (laugh)""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
90,"""Maybe the kid was intellectually disabled (laugh).
And hey, this guy's disabled too! (laugh)""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
91,Nes pointed at Star Man.,res\\image\\hoshiman00.png,res\\image\\nes00.png,,
92,"""Didn't you know? (laugh) His parents are disabled too (laugh)""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
93,"""Star Man! Stop!""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
94,At Trapezoid Man's shout Star Man dropped his fist.,res\\image\\hoshiman00.png,res\\image\\nes00.png,,
95,Nes trembled all over despite his joking tone.,res\\image\\hoshiman00.png,res\\image\\nes00.png,,
96,"""Believe me—(laugh) Everyone says it's poison but that's a lie!
He said he'd tell Gain where you were,""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
97,"""...""",res\\image\\daikeiman00.png,res\\image\\hoshiman00.png,,
98,"""You threatened him: 'Eat or I'll rat you out to Gain,' didn't you?"" Trapezoid Man said.",res\\image\\daikeiman00.png,res\\image\\hoshiman00.png,,
99,"""No, no! (laugh) I begged him, 'Enough, please stop eating!'""",res\\image\\daikeiman00.png,res\\image\\nes00.png,,
100,"""...""",res\\image\\daikeiman00.png,res\\image\\nes00.png,,
101,"""So you kept raising the stakes—'One berry or I tell,' 'Make it two,' 'No, three,' forcing him?""",res\\image\\daikeiman00.png,res\\image\\nes00.png,,
102,"""Stop imagining things! (laugh) I'd never do that!
I just told Gain, 'They're over there—go get 'em!' (laugh)""",res\\image\\daikeiman00.png,res\\image\\nes00.png,,
103,"""After Square Man begged you with his life, you still went to Gain.""",res\\image\\daikeiman00.png,res\\image\\nes00.png,,
104,"""Nope! (laugh) I honored his request!""",res\\image\\daikeiman00.png,res\\image\\nes00.png,,
105,"""...""",res\\image\\daikeiman00.png,res\\image\\nes00.png,,
106,Star Man stood up.,res\\image\\daikeiman00.png,res\\image\\nes00.png,,
107,"""...""",res\\image\\daikeiman00.png,res\\image\\nes00.png,,
108,"""Enough. Leave.""",res\\image\\daikeiman00.png,res\\image\\nes00.png,,
109,"When Star Man said that, Nes stood.",res\\image\\daikeiman00.png,res\\image\\nes00.png,,
110,"""Aww, so cruel, so cruel.""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
111,"Shaking, Nes waved at Square Man's grave.",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
112,"""Bye‑bye—eat all the sago you want in heaven! (laugh)""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
113,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
114,"""Yay, yay, someone's dead!"" Nes chanted as he skipped into the forest.",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
115,<Thud>,res\\image\\hoshiman00.png,res\\image\\nes00.png,,
116,Trapezoid Man smashed his fist into the ground.,,res\\image\\nes00.png,,
117,"""See? I told you!
If we'd killed Gain, Square Man would still be alive!"" Triangle Man shouted.",,res\\image\\nes00.png,,
118,"""...""",res\\image\\hoshiman00.png,,,
119,"""...""",,res\\image\\nes00.png,,
120,—,,res\\image\\nes00.png,,
121,The three carried the soil soaked with red liquid to the cliff and set a stone as Square Man's grave.,,,,
122,For about a week no one spoke; they quietly worked on the raft.,res\\image\\daikeiman00.png,,,
123,"""It's about what happens after Star Man sets sail..."" Trapezoid Man began.",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
124,"""I've been thinking about when they attack again.""",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
125,"""...""",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
126,"""When it happens—Triangle Man, just run. Plan at least two escape routes.""",res\\image\\daikeiman00.png,res\\image\\hoshiman00.png,,
127,"""Like squeezing between boulders, swimming a river, or setting stepping stones to jump across.
Maybe a Tarzan‑style rope swing.""",res\\image\\daikeiman00.png,res\\image\\hoshiman00.png,,
128,"""Okay.""",,,,
129,"""I'll work on rope tricks—single‑file routes like a Tarzan swing.""",,,,
130,"""...""",,,,
131,"""And let's split our food into three stashes.
We don't know how long we'll be here.""",res\\image\\daikeiman00.png,res\\image\\hoshiman00.png,,
132,"""...""",res\\image\\daikeiman00.png,res\\image\\hoshiman00.png,,
133,"""Sounds good.""",res\\image\\daikeiman00.png,res\\image\\hoshiman00.png,,
134,"From that day on, the three continued building the raft while also creating escape routes and storage caches.",res\\image\\daikeiman00.png,res\\image\\hoshiman00.png,,
135,"""When the time comes... Triangle Man, just run. And think of two escape routes.""",res\\image\\daikeiman00.png,res\\image\\hoshiman00.png,,
136,"""Like squeezing between rocks, swimming the river, or placing stones to jump across.
A Tarzan‑style rope swing could work too.""",res\\image\\daikeiman00.png,res\\image\\hoshiman00.png,,
137,"""Okay.""",res\\image\\daikeiman00.png,res\\image\\hoshiman00.png,,
138,"""I'll handle rope gimmicks—create a Tarzan‑like one‑person escape path.""",res\\image\\daikeiman00.png,res\\image\\hoshiman00.png,,
139,"""...""",res\\image\\daikeiman00.png,res\\image\\hoshiman00.png,,
140,"""And let's cache our food in three different spots.
We don't know how long we'll be stuck here.""",res\\image\\daikeiman00.png,res\\image\\hoshiman00.png,,
141,"""...""",res\\image\\daikeiman00.png,res\\image\\hoshiman00.png,,
142,"""Sounds good.""",res\\image\\daikeiman00.png,res\\image\\hoshiman00.png,,
143,"From that day on, the three kept working on the raft while also building escape routes and food caches.",,,,
