ID,Option 1,オプション2,オプション3,,
52,"""!!""",res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,,
53,Star Man stopped dead.,res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,,
54,"""No way…""",res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,,
55,The ghost was Square Man.,res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,,
56,"Square Man’s spirit, expressionless, approached Triangle Man.",res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,,
57,"Triangle Man recoiled, but even when Square Man’s ghost touched him nothing happened.
The ghost sat down beside him.
Triangle Man also sat, and the ghost relaxed next to him.",res\\image\\sankakuman00.png,res\\image\\shikakuman01.png,,
58,Star Man collapsed to his knees.,res\\image\\sankakuman00.png,res\\image\\shikakuman01.png,,
59,—,res\\image\\hoshiman00.png,,,
60,"The three spent some time with Square Man.
The ghost simply wandered near Triangle Man and did nothing else.",,,,
61,"""Should we just… live together like this?""",res\\image\\sankakuman00.png,res\\image\\shikakuman01.png,,
62,"""Eh… I don’t mind…""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
63,"(Is that even possible…? Well, there are manga like that…)",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
64,"When Star Man looked over, the ghost was staring into the forest.",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
65,(?),res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,,
66,The ghost recoiled.,res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,,
67,"Star Man took up a weapon and headed toward the forest.
As he walked, leaves rustled—a fleeing sound—so he ran to check.",res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,,
68,There was a monster—a hemispherical one.,res\\image\\hoshiman00.png,,,
69,"(No… not it. That sound ran deeper into the woods…
I’m curious, but I’ll take this thing out first.)",res\\image\\hoshiman00.png,,,
70,"As Star Man kept his distance and readied bow and arrow, Square Man’s ghost arrived.",res\\image\\hoshiman00.png,,,
71,"""What’s wrong? What’s wrong?""",res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,,
72,"Triangle Man followed.
The ghost brushed past Star Man and walked toward the enemy.",res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,,
73,(…?),res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,,
74,"As the ghost approached, it vanished.",res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,,
75,"The monster writhed in agony, then turned red and transformed into human shape.",res\\image\\hoshiman00.png,,,
76,"""Wait… that’s Square Man, isn’t it?""",res\\image\\hoshiman00.png,,,
77,Its head was square.,res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
78,"No one understood what was happening, but they all felt hope that Square Man might revive.",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
79,"After the transformation finished, a person the same shape as Square Man but entirely red stood there.
The red figure rose.",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
80,"""Aaah—"" it moaned, walking toward Triangle Man.
From the gait and voice it was unmistakably Square Man.",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
81,"The red Square Man wandered around Triangle Man, uttering only ""aa"" and ""uu"" sounds.",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
82,"""Maybe we just live together?"" Trapezoid Man said.",res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,,
83,"""Er… I guess that’s fine…""",res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,,
84,"(Is that okay? Well, there are comics like that…)",res\\image\\daikeiman00.png,,,
85,Star Man saw the red Square Man staring into the forest.,res\\image\\daikeiman00.png,,,
86,(?),res\\image\\daikeiman00.png,,,
87,The red Square Man backed away.,res\\image\\daikeiman00.png,res\\image\\shikakuman02.png,,
88,"Star Man, weapon ready, walked into the forest.
Leaves rustled as if something fled; he ran to check.",res\\image\\daikeiman00.png,res\\image\\shikakuman02.png,,
89,A monster—a hemispherical one.,res\\image\\daikeiman00.png,res\\image\\shikakuman02.png,,
90,"(No… unrelated.
The earlier sound ran further in… but I’ll take this one down.)",,res\\image\\xeoff00.png,,
91,"When Star Man tried to fight with bow and arrow, the red Square Man arrived.",res\\image\\daikeiman00.png,res\\image\\xeoff00.png,,
92,"""What’s wrong? What’s wrong?""",res\\image\\daikeiman00.png,res\\image\\xeoff00.png,,
93,"Triangle Man followed.
The red Square Man walked past Star Man toward the monster.",res\\image\\hoshiman00.png,res\\image\\xeoff00.png,,
94,(…?),res\\image\\hoshiman00.png,res\\image\\xeoff00.png,,
95,"As the red Square Man approached, he disappeared.",res\\image\\hoshiman00.png,res\\image\\xeoff00.png,,
96,"The monster thrashed, turned red, and reshaped into a human square‑headed figure.",res\\image\\hoshiman00.png,res\\image\\xeoff00.png,,
97,It wasn’t Square Man but another red person.,res\\image\\hoshiman00.png,res\\image\\xeoff00.png,,
98,"Star Man, baffled, watched.",res\\image\\hoshiman00.png,res\\image\\xeoff00.png,,
99,—,res\\image\\hoshiman00.png,res\\image\\xeoff00.png,,
100,"""Red Man can live only one week.""",res\\image\\hoshiman00.png,res\\image\\xeoff00.png,,
101,"""!!""",res\\image\\hoshiman00.png,res\\image\\xeoff00.png,,
102,"""Is that true...?""",res\\image\\hoshiman00.png,res\\image\\xeoff00.png,,
103,"""It is.""",res\\image\\hoshiman00.png,res\\image\\xeoff00.png,,
104,"""...""",res\\image\\hoshiman00.png,res\\image\\xeoff00.png,,
105,"""Believe it or not, I've seen the outcome enough times when I kept silent, so I always tell people.""",res\\image\\hoshiman00.png,res\\image\\xeoff00.png,,
106,"""...Isn't there any way?""",res\\image\\hoshiman00.png,res\\image\\xeoff00.png,,
107,"""None.""",res\\image\\hoshiman00.png,res\\image\\xeoff00.png,,
108,The horned man approached Red Man and gently patted his head.,res\\image\\shikakuman02.png,res\\image\\xeoff00.png,,
109,"""...""",res\\image\\shikakuman02.png,res\\image\\xeoff00.png,,
110,"Stepping away from Red Man, the horned man summoned a black vortex and disappeared into it.",,res\\image\\xeoff00.png,,
111,"""Well... I guess it's true...""",res\\image\\daikeiman00.png,,,
112,Trapezoid Man muttered.,res\\image\\daikeiman00.png,,,
113,—,,,,
114,Star Man and the others felt listless and simply passed the time.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
115,"""Trapezoid Man, Triangle Man—I'm going to see that old woman.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
116,"""Huh? Oh, okay.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
117,"""I want to check if there's anything we can do.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
118,Star Man walked over to Square Man.,res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
119,Square Man tensed uneasily.,res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
120,"Star Man offered a handshake, but Square Man didn't understand the gesture.",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
121,Triangle Man took Square Man's arm and guided him to shake Star Man's hand; Square Man beamed.,res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
122,"""I'll be back.""",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
123,Star Man told Square Man.,res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
124,"Consulting the map, he saw the old woman had been at a place called CentOZ Shrine.
Star Man headed there at a quick trot.",res\\image\\hoshiman00.png,,,
